id,year,rank,total,museum,museum_id,city
1,2016,1,"7,400,000",Musée du Louvre,1001,Paris
2,2016,2,"7,006,859",Metropolitan Museum of Art,1004,New York
3,2016,3,"6,420,395",British Museum,1003,London
4,2016,4,"6,262,839",National Gallery,1024,London
5,2016,5,"6,066,649",Vatican Museums,1002,Vatican City
6,2016,6,"5,839,197",Tate Modern,1005,London
7,2016,7,"4,665,725",National Palace Museum,,Taipei
8,2016,8,"4,261,391",National Gallery of Art,1007,"Washington, DC"
9,2016,9,"4,119,103",State Hermitage Museum,1012,St Petersburg
10,2016,10,"3,646,598",Reina Sofía,,Madrid
11,2017,1,"8,100,000",Musée du Louvre,1001,Paris
12,2017,2,"8,062,625",National Museum of China,,Beijing
13,2017,3,"6,692,909",Metropolitan Museum of Art,1004,New York
14,2017,4,"6,427,277",Vatican Museums,1002,Vatican City
15,2017,5,"5,906,000",British Museum,1003,London
16,2017,6,"5,656,004",Tate Modern,1005,London
17,2017,7,"5,232,277",National Gallery of Art,1007,"Washington, DC"
18,2017,8,"5,229,192",National Gallery,1024,London
19,2017,9,"4,436,118",National Palace Museum,,Taipei
20,2017,10,"4,200,000",State Hermitage Museum,1012,St Petersburg
21,2018,1,"10,200,000",Musée du Louvre,1001,Paris
22,2018,2,"8,610,092",National Museum of China,,Beijing
23,2018,3,"6,953,927",Metropolitan Museum of Art,1004,New York
24,2018,4,"6,756,186",Vatican Museums,1002,Vatican City
25,2018,5,"5,868,562",Tate Modern,1005,London
26,2018,6,"5,820,000",British Museum,1003,London
27,2018,7,"5,735,831",National Gallery,1024,London
28,2018,8,"4,404,212",National Gallery of Art,1007,"Washington, DC"
29,2018,9,"4,220,000",State Hermitage Museum,1012,St Petersburg
30,2018,10,"3,967,566",Victoria and Albert Museum,1013,London
31,2019,1,"9,600,000",Musée du Louvre,1001,Paris
32,2019,2,"7,390,000",National Museum of China,,Beijing
33,2019,3,"6,882,931",Vatican Museums,1002,Vatican City
34,2019,4,"6,479,548",Metropolitan Museum of Art,1004,New York
35,2019,5,"6,239,983",British Museum,1003,London
36,2019,6,"6,098,340",Tate Modern,1005,London
37,2019,7,"6,011,007",National Gallery,1024,London
38,2019,8,"4,956,529",State Hermitage Museum,1012,St Petersburg
39,2019,9,"4,425,699",Reina Sofía,,Madrid
40,2019,10,"4,074,403",National Gallery of Art,1007,"Washington, DC"
