date,sum
2015-01,345601
2015-02,221706
2015-03,174893
2015-04,216642
2015-05,270510
2015-06,93456
2015-07,271478
2015-08,460530
2015-09,234474
2015-10,308985
2015-11,236496
2015-12,294584
2016-01,377134
2016-02,271121
2016-03,180708
2016-04,218605
2016-05,305892
2016-06,249292
2016-07,304760
2016-08,446485
2016-09,254409
2016-10,276971
2016-11,202879
2016-12,307736
2017-01,464345
2017-02,351875
2017-03,240710
2017-04,246801
2017-05,269153
2017-06,219561
2017-07,299517
2017-08,428469
2017-09,197795
2017-10,278376
2017-11,230520
2017-12,249484
2018-01,285646
2018-02,257280
2018-03,165649
2018-04,164351
2018-05,311889
2018-06,212733
2018-07,310508
2018-08,507821
2018-09,278213
2018-10,340372
2018-11,203276
2018-12,266715
2019-01,302603
2019-02,297948
2019-03,174542
2019-04,177296
2019-05,320696
2019-06,208904
2019-07,333524
2019-08,493440
2019-09,256817
2019-10,305435
2019-11,206130
2019-12,276826
2020-01,309829
2020-02,79101
2020-03,0
2020-04,284
2020-05,49832
2020-06,890
2020-07,42515
2020-08,96310
2020-09,13084
2020-10,89842
2020-11,79993
2020-12,11941
2021-01,36213
2021-02,85661
2021-03,78548
2021-04,72299
2021-05,139181
2021-06,119880
2021-07,139036
2021-08,169896
2021-09,104992
2021-10,91359
2021-11,102366
2021-12,123131
2022-01,199553
2022-02,173238
2022-03,131226
2022-04,150321
2022-05,346373
2022-06,310046
2022-07,405690
2022-08,471606
2022-09,213207
2022-10,296972
2022-11,341137
2022-12,372012
2023-01,411281
2023-02,419332
2023-03,250352
2023-04,211974
2023-05,306607
2023-06,334368
2023-07,477407
2023-08,533857
2023-09,397512
2023-10,347852
2023-11,221919
2023-12,267824
2024-01,325127
2024-02,305525
2024-03,222265
2024-04,226589
2024-05,286491
2024-06,283530
2024-07,361493
2024-08,428217
2024-09,351733
2024-10,310040
2024-11,265661
2024-12,422114
2025-01,513262
2025-02,543361
2025-03,341471
2025-04,348114
2025-05,495384
2025-06,474731
2025-07,747679
2025-08,864977
2025-09,409025
2025-10,553584
2025-11,522677
2025-12,693218
