Museum,City,Year,Rank,Total
Musée du Louvre,Paris,2016,1,"7,400,000"
Metropolitan Museum of Art,New York,2016,2,"7,006,859"
British Museum,London,2016,3,"6,420,395"
National Gallery,London,2016,4,"6,262,839"
Vatican Museums,Vatican City,2016,5,"6,066,649"
Tate Modern,London,2016,6,"5,839,197"
National Palace Museum,Taipei,2016,7,"4,665,725"
National Gallery of Art,"Washington, DC",2016,8,"4,261,391"
State Hermitage Museum,St Petersburg,2016,9,"4,119,103"
Reina Sofía,Madrid,2016,10,"3,646,598"
Musée du Louvre,Paris,2017,1,"8,100,000"
National Museum of China,Beijing,2017,2,"8,062,625"
Metropolitan Museum of Art,New York,2017,3,"6,692,909"
Vatican Museums,Vatican City,2017,4,"6,427,277"
British Museum,London,2017,5,"5,906,000"
Tate Modern,London,2017,6,"5,656,004"
National Gallery of Art,"Washington, DC",2017,7,"5,232,277"
National Gallery,London,2017,8,"5,229,192"
National Palace Museum,Taipei,2017,9,"4,436,118"
State Hermitage Museum,St Petersburg,2017,10,"4,200,000"
Musée du Louvre,Paris,2018,1,"10,200,000"
National Museum of China,Beijing,2018,2,"8,610,092"
Metropolitan Museum of Art,New York,2018,3,"6,953,927"
Vatican Museums,Vatican City,2018,4,"6,756,186"
Tate Modern,London,2018,5,"5,868,562"
British Museum,London,2018,6,"5,820,000"
National Gallery,London,2018,7,"5,735,831"
National Gallery of Art,"Washington, DC",2018,8,"4,404,212"
State Hermitage Museum,St Petersburg,2018,9,"4,220,000"
Victoria and Albert Museum,London,2018,10,"3,967,566"
Musée du Louvre,Paris,2019,1,"9,600,000"
National Museum of China,Beijing,2019,2,"7,390,000"
Vatican Museums,Vatican City,2019,3,"6,882,931"
Metropolitan Museum of Art,New York,2019,4,"6,479,548"
British Museum,London,2019,5,"6,239,983"
Tate Modern,London,2019,6,"6,098,340"
National Gallery,London,2019,7,"6,011,007"
State Hermitage Museum,St Petersburg,2019,8,"4,956,529"
Reina Sofía,Madrid,2019,9,"4,425,699"
National Gallery of Art,"Washington, DC",2019,10,"4,074,403"
Musée du Louvre,Paris,2020,1,"2,700,000"
National Museum of China,Beijing,2020,2,"1,600,000"
Tate Modern,London,2020,3,"1,432,991"
Vatican Museums,Vatican City,2020,4,"1,300,000"
British Museum,London,2020,5,"1,275,466"
Museo Reina Sofía,Madrid,2020,6,"1,248,486"
State Russian Museum,St Petersburg,2020,7,"1,203,324"
National Gallery,London,2020,8,"1,197,143"
Metropolitan Museum of Art,New York,2020,9,"1,124,759"
21st Century Museum of Contemporary Art,Kanazawa,2020,10,"971,256"
State Hermitage Museum,St Petersburg,2020,11,"968,604"
Centre Pompidou,Paris,2020,12,"912,803"
State Tretyakov Gallery,Moscow,2020,13,"894,374"
Victoria and Albert Museum,London,2020,14,"872,240"
Musée d'Orsay,Paris,2020,15,"867,274"
Museo Nacional del Prado,Madrid,2020,16,"852,161"
Museum of New Zealand Te Papa Tongarewa,Wellington,2020,17,"837,664"
Centro Cultural Banco do Brasil,Rio de Janeiro,2020,18,"790,357"
National Museum of Korea,Seoul,2020,19,"773,621"
National Gallery Singapore,Singapore,2020,20,"736,132"
Musée du Louvre,Paris,2021,1,"2,825,000"
State Russian Museum,St Petersburg,2021,2,"2,260,231"
Multimedia Art Museum,Moscow,2021,3,"2,242,405"
Metropolitan Museum of Art,New York,2021,4,"1,958,000"
National Gallery of Art,"Washington, DC",2021,5,"1,704,606"
State Hermitage Museum,St Petersburg,2021,6,"1,649,443"
Museo Reina Sofía,Madrid,2021,7,"1,643,108"
