museum_id,avg_sentiment,avg_stars,review_count,positive_pct,negative_pct,museum,adult_price_local_usd,admission_free_yn
1001,0.49,4.69,200,68.0,12.5,Musée du Louvre,25.52,N
1002,0.5,4.66,200,70.5,11.5,Vatican Museums,23.2,N
1003,0.73,4.78,200,85.5,4.5,British Museum,0.0,Y
1004,0.7,4.9,200,84.0,6.0,Metropolitan Museum of Art,30.0,N
1005,0.72,4.45,200,84.0,8.5,Tate Modern,0.0,Y
1006,0.58,4.6,47,72.34,17.02,Shanghai Museum East,0.0,Y
1007,0.82,4.88,199,89.45,2.51,National Gallery of Art,0.0,Y
1008,0.86,4.85,200,93.5,0.5,National Museum of Korea,0.0,Y
1009,0.61,4.84,200,78.5,6.0,Musée d'Orsay,18.56,N
1010,0.76,4.85,200,86.5,3.5,Museo Nacional de Antropología,5.4,N
1012,0.66,4.72,199,79.9,5.03,State Hermitage Museum,5.5,N
1013,0.88,4.86,200,94.5,1.5,Victoria and Albert Museum,0.0,Y
1014,0.55,4.47,200,74.0,9.5,Museo Nacional del Prado,17.4,N
1016,0.8,4.81,200,88.0,4.0,Tokyo National Museum,6.58,N
1017,0.87,4.91,200,94.5,1.0,National Museum of Scotland,0.0,Y
1018,0.76,4.53,200,83.0,3.5,MMCA Seoul,2.99,N
1019,0.9,4.76,200,95.0,1.0,Museum of New Zealand Te Papa Tongarewa,0.0,Y
1020,0.72,4.61,159,83.02,4.4,Museo Egizio,17.4,N
1023,0.72,4.73,200,85.0,4.5,Museum of Modern Art (MoMA),30.0,N
1024,0.88,4.84,200,94.5,0.5,National Gallery,0.0,Y
