date,visitors,forecast,forecast_lower,forecast_upper
2015-01-01,345601.0,298299.0344993416,220391.45127205335,375820.3356873594
2015-02-01,221706.0,261537.15599986314,177255.59177682683,344107.89701224264
2015-03-01,174893.0,163125.68940100292,82847.44507752004,235962.78442768243
2015-04-01,216642.0,174400.44281078211,87763.38015769313,257497.98044058896
2015-05-01,270510.0,280739.7785189209,204449.52017557892,362873.9723877343
2015-06-01,93456.0,213933.72162091057,132105.51455514727,292118.69489793206
2015-07-01,271478.0,346670.1021733156,263909.2769323492,425413.15627115767
2015-08-01,460530.0,478694.64135806495,401103.372452877,556481.447126602
2015-09-01,234474.0,259280.0681865043,180930.069776804,340378.2372342609
2015-10-01,308985.0,287172.37206194137,201740.80368441547,365149.9557252817
2015-11-01,236496.0,211595.59111083788,134218.63408778782,286257.356755047
2015-12-01,294584.0,268423.57233159355,194237.0318385914,350706.16006094567
2016-01-01,377134.0,293246.3245434375,216379.8629681858,380262.468037683
2016-02-01,271121.0,249674.29804469948,173250.65831775995,332476.9682570304
2016-03-01,180708.0,185150.7873775732,107574.8744134824,268005.3304451087
2016-04-01,218605.0,184791.3279969652,102333.80583721079,264691.6731108196
2016-05-01,305892.0,270822.977715954,190984.56870294205,346545.45044910937
2016-06-01,249292.0,225902.02642099268,138924.87316059618,308046.0562822191
2016-07-01,304760.0,307170.62928039255,229361.1205600616,388626.9199103202
2016-08-01,446485.0,393504.47834582406,317243.22920783557,478793.8940352955
2016-09-01,254409.0,210862.5899709352,130639.45171353675,290468.8938382584
2016-10-01,276971.0,267872.1223860514,193613.57223446236,346849.1741942845
2016-11-01,202879.0,232276.79924564005,153640.88755468797,309111.41580714774
2016-12-01,307736.0,294133.74321235565,209070.34806811786,369279.783689603
2017-01-01,464345.0,323655.58472253545,243278.068957509,400119.03346105065
2017-02-01,351875.0,300203.466221234,222785.47882869272,376729.89372885885
2017-03-01,240710.0,182543.27980831216,105866.00436349865,260179.50091661327
2017-04-01,246801.0,186070.00054973134,104562.1569720556,264513.9292827083
2017-05-01,269153.0,278869.5559042054,198026.77289711835,353601.1651015328
2017-06-01,219561.0,226786.30351978895,141745.54536835905,306346.26807502017
2017-07-01,299517.0,325513.7577255379,244477.82756449832,406787.69645055395
2017-08-01,428469.0,427076.73415800725,343442.73965979874,502976.3447574922
2017-09-01,197795.0,231503.142193035,152031.67161356838,311339.0701205127
2017-10-01,278376.0,278792.1183688872,198187.5706676892,358898.76861232915
2017-11-01,230520.0,230153.44365205086,151053.82752543516,305371.56303354935
2017-12-01,249484.0,290362.4929574846,206574.6020469196,365216.0592127325
2018-01-01,285646.0,318265.66671311355,243933.83205593246,394685.8135555985
2018-02-01,257280.0,288215.43433639855,209440.57541872773,359093.5480524614
2018-03-01,165649.0,180104.90946462375,102303.94045444363,266729.7026878807
2018-04-01,164351.0,187517.27847732432,109775.806002624,262149.4401914518
2018-05-01,311889.0,287087.8806822474,215503.43938574978,373259.22424492135
2018-06-01,212733.0,227706.0391269128,145794.61646956837,310425.2868721087
2018-07-01,310508.0,343601.90366619726,269539.3755982378,424661.9868677152
2018-08-01,507821.0,460410.45804476214,379707.1656586843,540837.419546405
2018-09-01,278213.0,252572.2281773279,173272.38664897234,334239.2212809184
2018-10-01,340372.0,290141.0212382108,213367.0001201909,373199.744827795
2018-11-01,203276.0,228164.747078885,149709.43815036814,306019.61691484234
2018-12-01,266715.0,286697.9759782041,206382.89166716085,362532.54396424216
2019-01-01,302603.0,313031.6314928843,236786.3950339664,396979.8573749124
2019-02-01,297948.0,276269.7537647697,196423.3073972626,356337.2965292193
2019-03-01,174542.0,177858.28786234185,98364.71456663827,259833.43267883253
2019-04-01,177296.0,189133.0422794912,113377.07798360875,267126.0423870566
